,X,STATION,Station,State,DATE,TIME,HLY.CLDH.NORMAL,HLY.CLOD.PCTBKN,HLY.CLOD.PCTCLR,HLY.CLOD.PCTFEW,HLY.CLOD.PCTOVC,HLY.CLOD.PCTSCT,HLY.DEWP.10PCTL,HLY.DEWP.90PCTL,HLY.DEWP.NORMAL,HLY.HIDX.NORMAL,HLY.HTDH.NORMAL,HLY.PRES.10PCTL,HLY.PRES.90PCTL,HLY.PRES.NORMAL,HLY.TEMP.10PCTL,HLY.TEMP.90PCTL,HLY.TEMP.NORMAL,HLY.WCHL.NORMAL,HLY.WIND.1STDIR,HLY.WIND.1STPCT,HLY.WIND.2NDDIR,HLY.WIND.2NDPCT,HLY.WIND.AVGSPD,HLY.WIND.PCTCLM,HLY.WIND.VCTDIR,HLY.WIND.VCTSPD
3029,3029,USW00013959,WACO REGIONAL AIRPORT,TX,16-Oct,3,1.8,95,492,62,330,21,41,69.1,55.8,61.2,5.6,1,1,1,48.9,72,61.2,60.8,5,278,1,179,7.9,121,184,2
3030,3030,USW00094224,ASTORIA REGIONAL AIRPORT,OR,28-Oct,1,0,108,244,57,537,54,35.1,53.1,44.4,47.4,17.7,1,1,1,37.9,55,47.3,45.7,4,285,3,232,6.4,176,156,3.5
3031,3031,USW00012815,ORLANDO INTERNATIONAL AIRPORT,FL,13-Dec,14,7.3,352,130,132,235,150,34,66.9,53.2,71,1.7,1,1,1,57.9,81,70.6,70.5,8,182,3,154,10.3,27,344,1
3032,3032,USW00022010,DEL RIO INTERNATIONAL AIRPORT,TX,16-Dec,14,1.9,NA,NA,NA,NA,NA,18,53.1,35.9,61.1,5.9,NA,NA,NA,46.9,72.9,61.1,60.3,4,347,8,217,8.9,131,320,0.1
3033,3033,USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT,MN,5-Oct,13,2.2,234,151,146,355,115,26.1,55,41.8,59.9,7.3,1,1,1,48,73.9,59.9,58.8,8,222,5,194,13.1,31,244,2.8
3034,3034,USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT,FL,23-Nov,22,6.4,235,178,200,167,221,52,71.1,62.6,70.4,1,1,1,1,60.1,77,70.4,70.3,3,244,8,176,9,98,75,3.8
3035,3035,USW00094814,HOUGHTON LAKE ROSCOMMON CO AIRPORT,MI,31-Dec,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,NA,NA,NA,6.1,33.8,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036,3036,USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT,MT,3-Dec,13,0,147,88,23,694,48,10,33.1,22.7,30.1,34.9,1,1,1,18,41,30.1,25.7,5,173,6,166,5.3,347,203,1.3
3037,3037,USW00023009,ROSWELL INDUSTRIAL AIR PARK,NM,26-Nov,14,2.3,141,558,98,147,56,12,37.9,24.7,59.1,8.2,1,1,1,43,73,59.1,57.8,4,221,5,213,10.4,42,189,1.6
3038,3038,USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT,ND,14-Nov,19,0,116,320,75,465,25,9,35.1,23.4,31.2,33.8,1,1,1,17.1,46,31.2,23.3,5,192,4,185,10.6,56,224,0.6
3039,3039,USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT,LA,30-Oct,6,1.7,159,300,166,268,106,42.1,70,55.9,60.4,6.4,1,1,1,48.9,72,60.4,60,2,270,1,171,6.4,256,42,3.5
3040,3040,USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT,CO,14-Oct,23,-777.7,107,567,83,200,44,18,37.9,28.3,43.5,21.5,1,1,1,33.1,53.1,43.5,39.6,1,344,2,185,8.3,71,17,4.2
3041,3041,USW00014821,PORT COLUMBUS INTERNATIONAL AIRPORT,OH,26-Nov,16,0.2,174,96,72,584,74,18,50,32.5,46,19.1,1,1,1,32,61,46,41.7,6,242,5,204,11.1,16,230,5.5
3042,3042,USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT,FL,2-Nov,12,8.8,315,208,143,210,125,42.1,70,58.1,73.7,0.7,1,1,1,63,81,73.2,73.1,2,303,8,133,10.3,24,33,3.6
3043,3043,USW00013741,ROANOKE REGIONAL AIRPORT,VA,13-Nov,2,-777.7,99,455,81,307,58,19.9,50,34.3,43.8,21.2,1,1,1,32,57,43.8,41.3,8,244,7,173,5.7,313,303,3.8
3044,3044,USW00024157,SPOKANE INTERNATIONAL AIRPORT,WA,19-Oct,22,0,161,270,166,320,82,23,44.1,34.5,43.2,21.8,1,1,1,35.1,52,43.2,39.7,6,267,5,193,7.5,151,189,3.9
3045,3045,USW00094823,PITTSBURGH ASOS,PA,31-Oct,18,0.3,211,128,124,429,108,24.1,52,36.9,51.4,13.9,1,1,1,37.9,64,51.4,49.1,6,177,7,170,7.8,82,259,2.5
3046,3046,USW00003928,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT,KS,22-Oct,4,0.1,91,439,117,284,69,28,57.9,42.8,49.2,15.9,1,1,1,37,62.1,49.2,47,5,302,1,168,9.4,104,156,1.6
3047,3047,USW00014765,PROVIDENCE,RI,12-Oct,22,0.2,124,337,103,365,71,33.1,57.9,45.2,52,13.2,1,1,1,42.1,62.1,52,50.7,7,179,1,170,7.4,136,311,2.2
3048,3048,USW00012816,GAINESVILLE REGIONAL AIRPORT,FL,2-Oct,13,17.3,350,127,176,185,162,57.9,73.9,67.3,85.3,-777.7,1,1,1,74.3,88,82.3,82.3,3,250,2,247,9,32,66,4.1
3049,3049,USW00023273,SANTA MARIA PUBLIC AIRPORT,CA,31-Oct,1,-777.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,NA,NA,44.1,57.2,51.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3050,3050,USW00023047,AMARILLO INTERNATIONAL AIRPORT,TX,2-Oct,7,-777.7,121,446,111,232,91,33.1,57,45.3,52.1,12.9,1,1,1,43,61,52.1,50.2,6,272,5,250,10.1,33,213,3.4
3051,3051,USW00014913,DULUTH INTERNATIONAL AIRPORT,MN,20-Nov,8,0,98,228,59,581,34,3.9,33.1,20.2,24.4,40.6,1,1,1,9,37,24.4,15.2,8,240,1,148,10.1,51,296,2.4
3052,3052,USW00014852,YOUNGSTOWN WARREN REGIONAL AIRPORT,OH,31-Oct,22,-777.7,138,200,88,488,86,25,50,36.9,45.1,19.9,1,1,1,33.1,59,45.1,41.8,6,196,4,168,7.9,71,205,2.6
3053,3053,USW00013741,ROANOKE REGIONAL AIRPORT,VA,30-Nov,22,-777.7,106,430,81,320,63,12.9,50,30.4,42.5,22.5,1,1,1,30.9,55.9,42.5,39.1,8,213,7,211,6.6,252,291,3.9
3054,3054,USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,AZ,26-Oct,12,13.5,252,324,214,74,136,24.1,55,39.5,78.4,0.1,1,1,1,69.1,86,78.4,78.4,3,232,4,223,5.9,120,109,2.6
3055,3055,USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT,IL,5-Nov,19,-777.7,140,227,77,500,56,19,50,33.9,43,22,1,1,1,30.9,55.9,43,38.7,5,251,8,147,9.3,73,219,1.1
3056,3056,USW00093820,LEXINGTON BLUEGRASS AIRPORT,KY,27-Dec,22,0,81,228,97,571,23,10,46.9,27.2,34.1,30.9,1,1,1,18,52,34.1,28.1,5,209,7,168,8.7,53,212,2.8
3057,3057,USW00023042,LUBBOCK INTERNATIONAL AIRPORT,TX,11-Nov,12,1.7,143,408,134,245,70,19,51.1,35,58.9,7.8,1,1,1,43,72,58.9,57.5,6,253,5,213,14.1,20,235,4.1
3058,3058,USW00013984,CONCORDIA BLOSSER MUNICIPAL AIRPORT,KS,14-Oct,8,0.1,83,474,85,304,54,30,55,42.3,49.3,15.7,1,1,1,37,60.1,49.3,46.7,5,190,7,184,9.9,76,197,1.6
3059,3059,USW00024011,BISMARCK MUNICIPAL AIRPORT,ND,4-Oct,15,3.8,152,390,96,287,74,23,48.9,36.8,61.4,7.3,1,1,1,45,79,61.4,60.1,8,261,5,147,13.5,24,297,3.6
3060,3060,USW00014939,LINCOLN AIRPORT,NE,9-Dec,2,0,76,498,54,349,24,1.9,32,19.5,25.1,39.9,1,1,1,8.1,37.9,25.1,18,5,194,1,190,7.8,182,321,2.1
3061,3061,USW00093037,COLORADO SPRINGS MUNICIPAL AIRPORT,CO,1-Nov,12,0.8,166,334,254,176,71,10.9,32,22.1,53,12.8,1,1,1,34,69.1,53,50.6,5,294,4,281,10.9,31,168,2.6
3062,3062,USW00023234,SAN FRANCISCO INTERNATIONAL AIRPORT,CA,6-Oct,22,0.4,138,434,209,117,101,45,55.9,51.1,59,6.4,1,1,1,55,64,59,59,7,499,8,253,9.5,69,278,8.2
3063,3063,USW00014944,SIOUX FALLS FOSS FIELD,SD,5-Nov,21,-777.7,85,426,67,375,47,15.1,42.1,28.5,37,28,1,1,1,21.9,53.1,37,31.3,5,164,8,154,9.5,98,273,1.1
3064,3064,USW00014914,FARGO HECTOR INTERNATIONAL AIRPORT,ND,20-Nov,14,-777.7,149,314,78,428,32,5,34,21.6,31.8,33.2,1,1,1,15.1,48.9,31.8,22.9,8,241,5,209,13.1,29,282,2.8
3065,3065,USW00014891,MANSFIELD LAHM REGIONAL AIRPORT,OH,29-Dec,7,0,53,207,48,671,21,3.9,39,21.6,26.2,38.8,1,1,1,10,42.1,26.2,17.1,6,277,5,207,10.9,30,227,6.1
3066,3066,USW00014745,CONCORD MUNICIPAL AIRPORT,NH,13-Oct,14,1.5,157,299,117,362,65,25,54,39.4,59.6,6.9,1,1,1,48.9,71.1,59.6,59,8,254,7,176,9.4,56,287,3.6
3067,3067,USW00013876,BIRMINGHAM AIRPORT,AL,3-Oct,5,1.4,121,519,67,222,70,43,66.9,54.8,59.3,7.1,1,1,1,46,71.1,59.3,59.2,2,216,3,166,4.1,382,62,2.2
3068,3068,USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT,FL,5-Nov,14,9,301,208,114,234,143,39.9,69.1,56.5,73.9,0.6,1,1,1,63,82,73.4,73.4,2,263,3,159,10.7,27,34,3.7
3069,3069,USW00013966,WICHITA FALLS MUNICIPAL AIRPORT,TX,18-Nov,9,0.2,189,290,171,308,42,26.1,57,40.3,49,16.1,1,1,1,37,62.1,49,45.9,5,280,1,152,11.5,49,202,1.4
3070,3070,USW00024131,BOISE AIR TERMINAL,ID,8-Oct,1,0.2,92,626,98,145,38,23,44.1,33.7,49.5,15.7,1,1,1,39,60.1,49.5,47.6,4,542,8,103,7,100,138,3.6
3071,3071,USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT,OR,12-Nov,15,0.2,169,222,81,474,54,32,48,40.2,52.9,12.3,1,1,1,44.1,62.1,52.9,52.1,8,217,1,165,4.6,313,308,1
3072,3072,USW00094702,IGOR I SIKORSKY MEMORI AIRPORT,CT,22-Oct,15,0.6,170,323,132,323,52,28,57.9,42.6,58.8,6.8,1,1,1,50,68,58.8,58.2,6,244,8,172,12,13,282,3.2
3073,3073,USW00024227,OLYMPIA AIRPORT,WA,17-Nov,20,0,102,132,63,644,60,30,48.9,39.7,42,23,1,1,1,32,50,42,39.1,5,304,6,262,6.2,267,195,4.7
3074,3074,USW00013904,AUSTIN BERGSTROM INTERNATIONAL AIRPORT,TX,11-Nov,5,0.9,NA,NA,NA,NA,NA,32,66,49.2,NA,11.4,1,1,1,39.9,70,54.5,NA,1,150,5,137,4.5,476,353,0.9
3075,3075,USW00024011,BISMARCK MUNICIPAL AIRPORT,ND,2-Dec,3,0,68,345,79,481,27,-4,27,13.6,18.5,46.5,1,1,1,1.9,32,18.5,9.8,8,224,7,156,7.9,127,314,2.6
3076,3076,USW00012843,VERO BEACH INTERNATIONAL AIRPORT,FL,30-Nov,14,10.9,354,153,171,171,150,48,71.1,60.6,76.5,0.2,1,1,1,68,82,75.7,75.7,4,247,1,189,12.1,0,72,4.2
3077,3077,USW00014606,BANGOR INTERNATIONAL AIRPORT,ME,25-Dec,6,0,69,379,83,427,43,-5.8,30.9,13.4,19.2,45.8,1,1,1,1.9,36,19.2,12.7,8,238,7,161,6,194,313,3.6
3078,3078,USW00024153,MISSOULA INTERNATIONAL AIRPORT,MT,21-Oct,14,0.2,196,315,79,367,43,21.9,41,32.6,51.9,13.3,1,1,1,42.1,61,51.9,50.5,8,229,7,226,6.5,209,287,3.4
3079,3079,USW00013899,PENSACOLA REGIONAL AIRPORT,FL,20-Oct,20,3.8,116,532,134,148,69,43,72,58.5,66.5,2.5,1,1,1,55.9,75,66.2,66.2,1,282,2,111,6,167,13,1.9
3080,3080,USW00026617,NOME MUNICIPAL AIRPORT,AK,15-Nov,20,0,115,241,95,489,61,-6,28.9,11.8,18,47,1,1,1,1.9,32,18,8,3,250,1,235,10.6,118,54,5.4
3081,3081,USW00012839,MIAMI INTERNATIONAL AIRPORT,FL,15-Oct,19,14.2,247,80,307,172,195,62.1,75,69.4,81.5,-777.7,1,1,1,75,82,79.2,79.2,2,351,3,279,9,34,67,5.8
3082,3082,USW00094860,GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT,MI,14-Nov,23,0,86,190,79,578,66,19,45,31.4,38.3,26.7,1,1,1,28,51.1,38.3,32.8,5,186,6,172,9.4,42,222,2.3
3083,3083,USW00014848,SOUTH BEND AIRPORT,IN,11-Nov,0,0,83,289,49,540,38,19.9,48,33,39.9,25.1,1,1,1,28.9,53.1,39.9,35,6,297,5,180,9,83,217,3.7
3084,3084,USW00013873,ATHENS BEN EPPS AIRPORT,GA,10-Dec,22,-777.7,89,493,73,310,34,18,53.1,34.6,44.5,20.5,1,1,1,33.1,57.9,44.5,41.3,7,221,3,182,6.6,127,283,1.1
3085,3085,USW00013876,BIRMINGHAM AIRPORT,AL,12-Dec,1,0.1,134,363,69,416,18,19.9,55.9,36,42.7,22.4,1,1,1,28,60.1,42.7,40.2,1,135,8,132,5.7,293,350,0.5
3086,3086,USW00013966,WICHITA FALLS MUNICIPAL AIRPORT,TX,14-Oct,8,0.7,153,341,190,265,51,37.9,63,51.5,58.6,7.1,1,1,1,48.9,68,58.6,58.1,5,278,1,162,9.4,60,152,1.8
3087,3087,USW00003822,SAVANNAH INTERNATIONAL AIRPORT,GA,29-Oct,11,5.8,160,371,119,258,92,37.9,68,54.8,69.7,1.3,1,1,1,59,78.1,69.5,69.5,2,308,1,155,9.1,29,20,3.5
3088,3088,USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT,WA,12-Dec,17,0,217,33,65,594,92,26.1,44.1,35.7,41.9,23.1,1,1,1,36,48,41.9,37.1,5,285,1,145,8.9,73,157,3.3
3089,3089,USW00093817,EVANSVILLE REGIONAL AIRPORT,IN,16-Oct,10,1.9,121,446,78,318,36,33.1,61,47,61.5,5.4,1,1,1,50,73,61.5,61,6,211,5,141,8.6,63,232,2.1
3090,3090,USW00024121,ELKO REGIONAL AIRPORT,NV,7-Oct,22,-777.7,104,660,81,121,34,12,39,26.2,43,22,1,1,1,32,54,43,41.6,2,140,3,117,3.3,450,53,0.8
3091,3091,USW00013894,MOBILE REGIONAL AIRPORT,AL,2-Nov,4,0.9,121,518,87,224,50,34,66.9,51.4,55.5,10.4,1,1,1,41,69.1,55.5,54.5,2,241,1,197,6.1,173,28,2.7
3092,3092,USW00024153,MISSOULA INTERNATIONAL AIRPORT,MT,6-Nov,14,-777.7,196,219,52,487,46,17.1,39,28.7,42.1,22.9,1,1,1,30,53.1,42.1,39,7,252,8,182,6.2,223,280,2.5
3093,3093,USW00014895,AKRON CANTON AIRPORT,OH,27-Nov,2,-777.7,113,132,67,640,48,17.1,46,30.3,36.6,28.4,1,1,1,24.1,51.8,36.6,30.4,7,252,6,212,10,29,227,4.5
3094,3094,USW00023036,AURORA BUCKLEY FIELD ANGB,CO,26-Nov,18,0,300,112,330,137,121,6.3,27.1,18.1,35.1,29.9,1,1,1,21.2,50,35.1,30.4,4,220,5,180,6.8,197,153,1.8
3095,3095,USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT,OK,27-Nov,0,-777.7,66,478,95,281,79,19.9,50,33.2,42,23.1,1,1,1,30,55,42,36.9,5,268,1,174,10.7,47,182,0.3
3096,3096,USW00013996,TOPEKA MUNICIPAL AIRPORT,KS,11-Dec,13,-777.7,82,438,77,377,26,10,37.9,25.2,39,26,1,1,1,21.9,55,39,33.4,8,189,5,151,10.4,60,282,2.6
3097,3097,USW00003813,MACON MIDDLE GA REGIONAL AIRPORT,GA,5-Dec,18,0.7,115,462,97,275,51,21,60.1,40,55.2,10.5,1,1,1,44.1,68,55.2,54.1,8,208,2,124,5.9,147,314,0.9
3098,3098,USW00094746,WORCESTER,MA,11-Oct,18,0.2,123,421,94,332,31,27,55.9,41.6,52.9,12.4,1,1,1,43,63,52.8,51.2,6,209,7,206,8.5,62,269,3.1
3099,3099,USW00013737,NORFOLK INTERNATIONAL AIRPORT,VA,5-Dec,13,0.9,188,261,154,291,106,19,57,36.4,53,13,1,1,1,39.9,69.1,53,50.4,6,196,7,192,12,22,292,3.9
3100,3100,USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD,AL,24-Nov,22,0.1,118,429,59,356,38,25,57,40,47.2,17.9,1,1,1,34,61,47.2,45,4,258,3,169,7.1,129,107,1.7
3101,3101,USW00012816,GAINESVILLE REGIONAL AIRPORT,FL,27-Dec,12,3,240,323,90,280,67,27.5,64.9,48.9,62,6,1,1,1,46.9,75.9,62,61.2,2,161,4,134,8.9,55,1,0.4
3102,3102,USW00026425,GULKANA AIRPORT,AK,18-Nov,17,0,172,76,87,535,130,-22,19.9,0.6,6.6,58.8,1,1,1,-14.1,27,6.2,3.4,NA,NA,NA,NA,NA,NA,NA,NA
3103,3103,USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT,IL,25-Oct,2,-777.7,145,268,96,427,63,27,52,39.3,45.7,19.3,1,1,1,34,57.9,45.7,42.4,6,228,7,181,8.7,69,243,2.8
3104,3104,USW00024155,PENDLETON E OR REGIONAL AIRPORT,OR,4-Oct,1,0.1,85,581,55,233,46,28.9,46.9,38.1,50.4,14.7,1,1,1,41,57.9,50.4,48.7,4,433,5,150,6.7,89,167,3.4
3105,3105,USW00013964,FORT SMITH REGIONAL AIRPORT,AR,22-Nov,22,0.1,75,484,46,381,14,25,55.9,39.1,46.6,18.6,1,1,1,34,59,46.6,44.2,2,227,3,217,6.4,171,29,1.6
3106,3106,USW00023009,ROSWELL INDUSTRIAL AIR PARK,NM,10-Oct,11,6.8,114,554,126,139,67,32,55,44,70.1,1.8,1,1,1,57.9,81,70.1,69.9,4,300,5,170,9,68,123,2.3
3107,3107,USW00003812,ASHEVILLE AIRPORT,NC,28-Dec,1,0,105,350,64,436,45,12,46,28.8,34.3,30.7,1,1,1,21.9,48.9,34.3,29,1,326,8,163,7.4,234,340,3.5
3108,3108,USW00013723,GREENSBORO AIRPORT,NC,12-Nov,22,0.1,127,459,60,274,81,23,55.9,37.8,47.9,17.2,1,1,1,36,60.1,47.9,46.1,6,177,8,142,5.7,223,281,1.4
3109,3109,USW00014925,ROCHESTER INTERNATIONAL AIRPORT,MN,18-Oct,22,-777.7,88,416,67,373,56,24.1,50,36.8,44.1,20.9,1,1,1,32,57,44.1,39.5,5,232,8,205,11.2,27,225,3.1
3110,3110,USW00014920,LA CROSSE MUNICIPAL AIRPORT,WI,14-Dec,7,0,90,267,94,503,45,-8,30,13.7,19,46,NA,NA,NA,-2,34,19,10,5,239,8,180,8.3,113,244,1.5
3111,3111,USW00023061,ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT,CO,29-Nov,12,0,122,572,124,122,61,3,24.1,13.7,35.1,29.9,1,1,1,21,46.9,35.1,30.7,1,142,6,124,6.6,222,252,2
3112,3112,USW00014926,ST CLOUD REGIONAL AIRPORT,MN,20-Oct,13,0.5,129,295,86,415,75,23,48,35.6,51.7,13.8,1,1,1,39,64.9,51.7,48.9,8,218,5,185,11.4,11,260,3.3
3113,3113,USW00025503,KING SALMON AIRPORT,AK,9-Oct,15,0,326,23,98,408,146,19,43,32.6,43.8,21.2,1,1,1,34,52,43.8,38.5,1,269,5,118,12.4,18,3,1.7
3114,3114,USW00014734,NEWARK LIBERTY INTERNATIONAL AIRPORT,NJ,15-Nov,1,-777.7,131,303,86,401,79,19.9,53.1,35.1,44.6,20.4,1,1,1,34,57,44.6,40.7,6,212,7,175,9,78,302,3.6
3115,3115,USW00093821,LOUISVILLE INTERNATIONAL AIRPORT,KY,1-Nov,22,0.3,170,258,128,335,109,26.1,57,41.2,51.8,13.5,1,1,1,39.9,64.9,51.8,50.2,4,199,5,184,6.3,191,221,1
3116,3116,USW00014836,LANSING CAPITAL CITY AIRPORT,MI,21-Nov,15,-777.7,216,55,75,609,45,19,45,31.4,42,23,1,1,1,30,55.9,42,36.2,7,218,6,212,12.4,20,238,5.3
3117,3117,USW00022521,HONOLULU INTERNATIONAL AIRPORT,HI,19-Dec,21,8,265,119,389,117,110,60.1,69.1,64.7,73,-777.7,1,1,1,69.6,75.9,73,73,2,370,3,175,7.6,114,56,5
3118,3118,USW00025339,YAKUTAT AIRPORT,AK,25-Oct,0,0,141,127,63,608,61,21.9,43,33.5,36.6,28.4,1,1,1,26.1,45,36.6,32.8,3,381,2,175,6.2,260,94,4.9
3119,3119,USW00014837,MADISON DANE CO REGIONAL AIRPORT,WI,31-Oct,20,-777.7,83,365,70,451,31,21,48.9,34.5,43.3,21.7,1,1,1,30.9,57,43.3,39.6,5,233,8,167,8,122,219,1.7
3120,3120,USW00025713,ST PAUL ISLAND AIRPORT,AK,13-Oct,13,0,312,11,38,544,94,28,43,35.4,41.9,23.1,1,1,1,37,46,41.9,33.9,1,188,2,146,17.7,4,332,2.6
3121,3121,USW00012917,PORT ARTHUR SE TX REGIONAL AIRPORT,TX,14-Nov,0,1.4,100,429,95,329,46,39,69.1,54.7,58.6,7.8,1,1,1,46,71.1,58.6,58,1,173,3,163,7.4,154,76,2.5
3122,3122,USW00025501,KODIAK AIRPORT,AK,16-Oct,7,0,207,133,140,408,113,21,44.1,32.7,38.7,26.4,1,1,1,30,46.9,38.6,32.5,8,361,7,303,11.2,64,310,4.8
3123,3123,USW00014606,BANGOR INTERNATIONAL AIRPORT,ME,6-Nov,3,0,105,304,59,485,47,17.6,46.9,31.4,37.7,27.4,1,1,1,26.1,50,37.6,33.6,8,190,7,161,6.7,137,304,2.4
3124,3124,AQW00061705,PAGO PAGO WEATHER SERVICE OFFICE AIRPORT,AS,10-Nov,4,14.4,340,5,59,410,187,72,77.9,75.1,82.7,0,1,1,1,75.9,82.6,79.4,79.4,3,381,4,216,10.6,60,100,8
3125,3125,USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT,PA,29-Dec,1,0,122,282,106,438,52,8.1,37,23,31.3,33.7,NA,NA,NA,19.4,42.1,31.3,25.7,8,326,7,83,7.4,316,312,4.5
3126,3126,USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT,MN,15-Dec,13,0,142,140,119,518,81,-7.1,30,14.2,23.4,41.6,1,1,1,3.9,39,23.4,13.5,8,222,6,156,10.6,47,259,3.5
3127,3127,USW00014764,PORTLAND INTERNATIONAL JETPORT,ME,20-Oct,10,0.1,117,322,101,387,73,28,53.1,39.6,52,13.2,1,1,1,44.1,60.1,52,50,7,162,8,152,9.7,71,302,2.8
3128,3128,USW00023061,ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT,CO,14-Nov,10,0,113,575,134,121,57,8.1,28.9,19.2,35.9,29.1,1,1,1,26.1,46,35.9,32.3,5,149,1,105,5.9,300,206,1.8
3129,3129,USW00024029,SHERIDAN AIRPORT,WY,10-Oct,16,2.6,213,299,120,310,58,24.1,42.1,33.2,57.9,9.7,1,1,1,39.9,75,57.9,56.3,8,398,4,126,9,91,317,4.5
3130,3130,USW00013741,ROANOKE REGIONAL AIRPORT,VA,12-Nov,3,-777.7,114,459,83,286,58,19.9,50,34.4,43.3,21.7,1,1,1,30.9,57,43.3,40.8,8,257,7,188,5.8,290,305,4
3131,3131,AQW00061705,PAGO PAGO WEATHER SERVICE OFFICE AIRPORT,AS,21-Oct,7,15.3,446,2,59,358,135,72,78.1,75.3,84.8,0,1,1,1,77.5,82.9,80.3,80.3,3,383,4,285,11.8,64,102,9.6
3132,3132,USW00093193,FRESNO YOSEMITE INTERNATIONAL,CA,15-Dec,21,0,148,288,80,389,96,34,48,41.2,45.1,19.9,1,1,1,37.9,53.1,45.1,43.3,3,215,4,144,4.3,247,83,1.1
3133,3133,USW00014606,BANGOR INTERNATIONAL AIRPORT,ME,13-Dec,15,0,206,187,118,433,57,1,35.6,18.7,30.2,34.8,1,1,1,17.1,42.1,30.2,22.6,8,306,1,176,9.1,76,318,4.8
3134,3134,USW00003928,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT,KS,27-Nov,15,0.3,213,181,176,331,98,15.1,46,30.5,49.1,16.2,1,1,1,34,64,49.1,45.2,5,291,1,223,14.7,11,265,2.4
3135,3135,USW00023066,GRAND JUNCTION WALKER FIELD,CO,20-Dec,3,0,115,462,63,322,38,6.1,27,17,23.3,41.7,1,1,1,14,32,23.3,16.8,3,299,4,240,5.9,164,98,3.3
3136,3136,USW00013873,ATHENS BEN EPPS AIRPORT,GA,20-Dec,4,0,69,476,39,396,21,15.1,50,32.1,38.5,26.5,1,1,1,26.1,52,38.5,34.3,7,224,2,207,6.4,145,318,1.3
3137,3137,USW00094014,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT,ND,23-Nov,16,0,135,354,77,385,50,3,30.9,19.4,30.9,34.1,1,1,1,12,48.9,30.9,23,6,202,7,184,10.4,58,280,3.8
3138,3138,USW00024033,BILLINGS INTERNATIONAL AIRPORT,MT,5-Nov,19,-777.7,194,248,153,316,88,10.9,35.1,23.8,40.9,24.1,1,1,1,21.9,57,40.9,35.9,6,380,8,123,10.3,53,257,5.4
3139,3139,USW00026425,GULKANA AIRPORT,AK,10-Dec,11,0,230,46,58,552,114,-27,19.9,-3.9,2.1,63.8,1,1,1,-20,25,1.2,-1.9,NA,NA,NA,NA,NA,NA,NA,NA
3140,3140,USW00024028,SCOTTSBLUFF W B HEILIG FIELD AIRPORT,NE,15-Nov,12,0.3,135,411,104,299,51,15.1,33.1,24.5,46.4,19,1,1,1,28.9,63,46.4,42,8,316,7,273,12.6,45,296,6.9
3141,3141,USW00094823,PITTSBURGH ASOS,PA,19-Nov,19,-777.7,134,145,102,514,105,18,48.9,32.3,43.1,21.9,1,1,1,30,57.9,43.1,39.2,7,186,6,172,8,107,243,3
3142,3142,USW00013881,CHARLOTTE DOUGLAS AIRPORT,NC,8-Dec,16,0.7,198,182,140,374,106,12.9,53.1,32.3,53.1,12.6,1,1,1,39,66.9,53.1,51.1,6,232,5,177,8.3,72,260,2.3
3143,3143,USW00025339,YAKUTAT AIRPORT,AK,10-Oct,15,0,194,55,55,643,53,30,46.9,39.7,47.2,17.8,1,1,1,42.1,52.7,47.2,44.2,3,332,4,202,8.2,72,104,4.6
3144,3144,USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT,UT,21-Dec,7,0,143,179,79,523,77,10,30,19.5,25.1,39.9,1,1,1,15.1,36,25.1,18,4,411,5,201,7.4,136,158,3.8
3145,3145,USW00014755,MOUNT WASHINGTON,NH,14-Nov,15,0,NA,NA,NA,NA,NA,-4.9,35.6,15.1,NA,43.2,NA,NA,NA,6.8,37.4,21.8,NA,7,382,8,268,41.2,5,276,28.3
